numTeachers,numAssessments,numExamples,teacherMu,exponent,simType,studentID,priorAlpha,priorBeta,guessAlpha,guessBeta,oldDKL,numHeadsShown,newDKL
1,0,12,0.5,1,unsortedNaiveTeachers,0,1,10,1,1,4.888769647026454,7,1.3841749796084208
1,0,12,0.5,1,unsortedNaiveTeachers,1,2,9,1,1,2.691545069690235,7,0.8245591916729964
1,0,12,0.5,1,unsortedNaiveTeachers,2,3,8,1,1,1.3052507085703442,7,0.4568344115476819
1,0,12,0.5,1,unsortedNaiveTeachers,3,4,7,1,1,0.4579528481831403,7,0.27451285475372345
1,0,12,0.5,1,unsortedNaiveTeachers,4,5,6,1,1,0.05248774007497614,7,0.274512854753727
1,0,12,0.5,1,unsortedNaiveTeachers,5,6,5,1,1,0.05248774007497614,7,0.4568344115476819
1,0,12,0.5,1,unsortedNaiveTeachers,6,7,4,1,1,0.4579528481831403,7,0.8245591916729964
1,0,12,0.5,1,unsortedNaiveTeachers,7,8,3,1,1,1.3052507085703442,7,1.3841749796084173
1,0,12,0.5,1,unsortedNaiveTeachers,8,9,2,1,1,2.691545069690235,7,2.146315031655316
1,0,12,0.5,1,unsortedNaiveTeachers,9,10,1,1,1,4.8887696470264554,7,3.1271442846670467
1,0,12,0.5,1,unsortedUncertainTeachers,0,1,10,1,1,4.888769647026454,6,2.146315031655316
1,0,12,0.5,1,unsortedUncertainTeachers,1,2,9,1,1,2.691545069690235,6,1.3841749796084208
1,0,12,0.5,1,unsortedUncertainTeachers,2,3,8,1,1,1.3052507085703442,6,0.8245591916729964
1,0,12,0.5,1,unsortedUncertainTeachers,3,4,7,1,1,0.4579528481831403,6,0.4568344115476819
1,0,12,0.5,1,unsortedUncertainTeachers,4,5,6,1,1,0.05248774007497614,6,0.27451285475372345
1,0,12,0.5,1,unsortedUncertainTeachers,5,6,5,1,1,0.05248774007497614,6,0.274512854753727
1,0,12,0.5,1,unsortedUncertainTeachers,6,7,4,1,1,0.4579528481831403,6,0.4568344115476819
1,0,12,0.5,1,unsortedUncertainTeachers,7,8,3,1,1,1.3052507085703442,6,0.8245591916729964
1,0,12,0.5,1,unsortedUncertainTeachers,8,9,2,1,1,2.691545069690235,6,1.3841749796084173
1,0,12,0.5,1,unsortedUncertainTeachers,9,10,1,1,1,4.8887696470264554,6,2.146315031655316
1,0,12,0.5,1,sortedUncertainTeachers,7,8,3,1,1,1.3052507085703442,6,0.8245591916729964
1,0,12,0.5,1,sortedUncertainTeachers,3,4,7,1,1,0.4579528481831403,6,0.4568344115476819
1,0,12,0.5,1,sortedUncertainTeachers,5,6,5,1,1,0.05248774007497614,6,0.274512854753727
1,0,12,0.5,1,sortedUncertainTeachers,9,10,1,1,1,4.8887696470264554,6,2.146315031655316
1,0,12,0.5,1,sortedUncertainTeachers,1,2,9,1,1,2.691545069690235,6,1.3841749796084208
1,0,12,0.5,1,sortedUncertainTeachers,6,7,4,1,1,0.4579528481831403,6,0.4568344115476819
1,0,12,0.5,1,sortedUncertainTeachers,2,3,8,1,1,1.3052507085703442,6,0.8245591916729964
1,0,12,0.5,1,sortedUncertainTeachers,4,5,6,1,1,0.05248774007497614,6,0.27451285475372345
1,0,12,0.5,1,sortedUncertainTeachers,8,9,2,1,1,2.691545069690235,6,1.3841749796084173
1,0,12,0.5,1,sortedUncertainTeachers,0,1,10,1,1,4.888769647026454,6,2.146315031655316
1,0,12,0.5,1,unsortedPerfectTeachers,0,1,10,1,1,4.888769647026454,6,2.146315031655316
1,0,12,0.5,1,unsortedPerfectTeachers,1,2,9,1,1,2.691545069690235,6,1.3841749796084208
1,0,12,0.5,1,unsortedPerfectTeachers,2,3,8,1,1,1.3052507085703442,6,0.8245591916729964
1,0,12,0.5,1,unsortedPerfectTeachers,3,4,7,1,1,0.4579528481831403,6,0.4568344115476819
1,0,12,0.5,1,unsortedPerfectTeachers,4,5,6,1,1,0.05248774007497614,6,0.27451285475372345
1,0,12,0.5,1,unsortedPerfectTeachers,5,6,5,1,1,0.05248774007497614,6,0.274512854753727
1,0,12,0.5,1,unsortedPerfectTeachers,6,7,4,1,1,0.4579528481831403,6,0.4568344115476819
1,0,12,0.5,1,unsortedPerfectTeachers,7,8,3,1,1,1.3052507085703442,6,0.8245591916729964
1,0,12,0.5,1,unsortedPerfectTeachers,8,9,2,1,1,2.691545069690235,6,1.3841749796084173
1,0,12,0.5,1,unsortedPerfectTeachers,9,10,1,1,1,4.8887696470264554,6,2.146315031655316
1,0,12,0.5,1,sortedPerfectTeachers,0,1,10,1,1,4.888769647026454,6,2.146315031655316
1,0,12,0.5,1,sortedPerfectTeachers,1,2,9,1,1,2.691545069690235,6,1.3841749796084208
1,0,12,0.5,1,sortedPerfectTeachers,2,3,8,1,1,1.3052507085703442,6,0.8245591916729964
1,0,12,0.5,1,sortedPerfectTeachers,3,4,7,1,1,0.4579528481831403,6,0.4568344115476819
1,0,12,0.5,1,sortedPerfectTeachers,4,5,6,1,1,0.05248774007497614,6,0.27451285475372345
1,0,12,0.5,1,sortedPerfectTeachers,5,6,5,1,1,0.05248774007497614,6,0.274512854753727
1,0,12,0.5,1,sortedPerfectTeachers,6,7,4,1,1,0.4579528481831403,6,0.4568344115476819
1,0,12,0.5,1,sortedPerfectTeachers,7,8,3,1,1,1.3052507085703442,6,0.8245591916729964
1,0,12,0.5,1,sortedPerfectTeachers,8,9,2,1,1,2.691545069690235,6,1.3841749796084173
1,0,12,0.5,1,sortedPerfectTeachers,9,10,1,1,1,4.8887696470264554,6,2.146315031655316
2,0,12,0.5,1,unsortedNaiveTeachers,0,1,10,1,1,4.888769647026454,7,1.3841749796084208
2,0,12,0.5,1,unsortedNaiveTeachers,1,2,9,1,1,2.691545069690235,7,0.8245591916729964
2,0,12,0.5,1,unsortedNaiveTeachers,2,3,8,1,1,1.3052507085703442,7,0.4568344115476819
2,0,12,0.5,1,unsortedNaiveTeachers,3,4,7,1,1,0.4579528481831403,7,0.27451285475372345
2,0,12,0.5,1,unsortedNaiveTeachers,4,5,6,1,1,0.05248774007497614,7,0.274512854753727
2,0,12,0.5,1,unsortedNaiveTeachers,5,6,5,1,1,0.05248774007497614,7,0.4568344115476819
2,0,12,0.5,1,unsortedNaiveTeachers,6,7,4,1,1,0.4579528481831403,7,0.8245591916729964
2,0,12,0.5,1,unsortedNaiveTeachers,7,8,3,1,1,1.3052507085703442,7,1.3841749796084173
2,0,12,0.5,1,unsortedNaiveTeachers,8,9,2,1,1,2.691545069690235,7,2.146315031655316
2,0,12,0.5,1,unsortedNaiveTeachers,9,10,1,1,1,4.8887696470264554,7,3.1271442846670467
2,0,12,0.5,1,unsortedUncertainTeachers,0,1,10,1,1,4.888769647026454,6,2.146315031655316
2,0,12,0.5,1,unsortedUncertainTeachers,1,2,9,1,1,2.691545069690235,6,1.3841749796084208
2,0,12,0.5,1,unsortedUncertainTeachers,2,3,8,1,1,1.3052507085703442,6,0.8245591916729964
2,0,12,0.5,1,unsortedUncertainTeachers,3,4,7,1,1,0.4579528481831403,6,0.4568344115476819
2,0,12,0.5,1,unsortedUncertainTeachers,4,5,6,1,1,0.05248774007497614,6,0.27451285475372345
2,0,12,0.5,1,unsortedUncertainTeachers,5,6,5,1,1,0.05248774007497614,6,0.274512854753727
2,0,12,0.5,1,unsortedUncertainTeachers,6,7,4,1,1,0.4579528481831403,6,0.4568344115476819
2,0,12,0.5,1,unsortedUncertainTeachers,7,8,3,1,1,1.3052507085703442,6,0.8245591916729964
2,0,12,0.5,1,unsortedUncertainTeachers,8,9,2,1,1,2.691545069690235,6,1.3841749796084173
2,0,12,0.5,1,unsortedUncertainTeachers,9,10,1,1,1,4.8887696470264554,6,2.146315031655316
2,0,12,0.5,1,sortedUncertainTeachers,7,8,3,1,1,1.3052507085703442,6,0.8245591916729964
2,0,12,0.5,1,sortedUncertainTeachers,3,4,7,1,1,0.4579528481831403,6,0.4568344115476819
2,0,12,0.5,1,sortedUncertainTeachers,5,6,5,1,1,0.05248774007497614,6,0.274512854753727
2,0,12,0.5,1,sortedUncertainTeachers,9,10,1,1,1,4.8887696470264554,6,2.146315031655316
2,0,12,0.5,1,sortedUncertainTeachers,1,2,9,1,1,2.691545069690235,6,1.3841749796084208
2,0,12,0.5,1,sortedUncertainTeachers,6,7,4,1,1,0.4579528481831403,6,0.4568344115476819
2,0,12,0.5,1,sortedUncertainTeachers,2,3,8,1,1,1.3052507085703442,6,0.8245591916729964
2,0,12,0.5,1,sortedUncertainTeachers,4,5,6,1,1,0.05248774007497614,6,0.27451285475372345
2,0,12,0.5,1,sortedUncertainTeachers,8,9,2,1,1,2.691545069690235,6,1.3841749796084173
2,0,12,0.5,1,sortedUncertainTeachers,0,1,10,1,1,4.888769647026454,6,2.146315031655316
2,0,12,0.5,1,unsortedPerfectTeachers,0,1,10,1,1,4.888769647026454,8,0.8245591916729964
2,0,12,0.5,1,unsortedPerfectTeachers,1,2,9,1,1,2.691545069690235,8,0.4568344115476819
2,0,12,0.5,1,unsortedPerfectTeachers,2,3,8,1,1,1.3052507085703442,8,0.27451285475372345
2,0,12,0.5,1,unsortedPerfectTeachers,3,4,7,1,1,0.4579528481831403,8,0.274512854753727
2,0,12,0.5,1,unsortedPerfectTeachers,4,5,6,1,1,0.05248774007497614,8,0.4568344115476819
2,0,12,0.5,1,unsortedPerfectTeachers,5,6,5,1,1,0.05248774007497614,3,0.8245591916729964
2,0,12,0.5,1,unsortedPerfectTeachers,6,7,4,1,1,0.4579528481831403,3,0.4568344115476819
2,0,12,0.5,1,unsortedPerfectTeachers,7,8,3,1,1,1.3052507085703442,3,0.27451285475372345
2,0,12,0.5,1,unsortedPerfectTeachers,8,9,2,1,1,2.691545069690235,3,0.274512854753727
2,0,12,0.5,1,unsortedPerfectTeachers,9,10,1,1,1,4.8887696470264554,3,0.4568344115476819
2,0,12,0.5,1,sortedPerfectTeachers,0,1,10,1,1,4.888769647026454,8,0.8245591916729964
2,0,12,0.5,1,sortedPerfectTeachers,1,2,9,1,1,2.691545069690235,8,0.4568344115476819
2,0,12,0.5,1,sortedPerfectTeachers,2,3,8,1,1,1.3052507085703442,8,0.27451285475372345
2,0,12,0.5,1,sortedPerfectTeachers,3,4,7,1,1,0.4579528481831403,8,0.274512854753727
2,0,12,0.5,1,sortedPerfectTeachers,4,5,6,1,1,0.05248774007497614,8,0.4568344115476819
2,0,12,0.5,1,sortedPerfectTeachers,5,6,5,1,1,0.05248774007497614,3,0.8245591916729964
